S301,M151,Club Brugge,11,9,7,,0,0
S302,M151,Anderlecht,6,1,2,,2,0
S303,M152,Waregem,14,8,9,,2,0
S304,M152,Antwerp,6,3,2,,4,0
S305,M153,Mechelen,5,3,3,,4,2
S306,M153,Club Brugge,14,10,6,,2,0
S307,M154,Antwerp,20,7,7,,3,0
S308,M154,Lokeren,9,5,0,,1,0
S309,M155,Gent,16,9,6,,4,0
S310,M155,Charleroi,4,2,2,,3,0
S311,M156,Anderlecht,11,6,10,,0,0
S312,M156,Eupen,3,1,3,,0,0
S313,M157,Waasland-Beveren,18,3,11,,2,0
S314,M157,Oostende,7,5,5,,4,0
S315,M158,Genk,11,5,11,,2,1
S316,M158,Kortrijk,8,3,3,,5,0
S317,M159,Mouscron,14,6,6,,3,0
S318,M159,Waregem,7,2,3,,5,1
S319,M160,Standard,9,3,8,,5,0
S320,M160,St Truiden,7,2,5,,5,0
S321,M161,Anderlecht,6,4,3,,3,0
S322,M161,Gent,7,2,2,,3,1
S323,M162,Club Brugge,8,8,5,,3,0
S324,M162,Mouscron,8,4,1,,2,1
S325,M163,Eupen,10,3,10,,5,1
S326,M163,Waasland-Beveren,6,2,2,,3,0
S327,M164,Lokeren,8,7,3,,1,0
S328,M164,Mechelen,9,4,5,,1,0
S329,M165,Waregem,5,2,1,,1,2
S330,M165,Charleroi,18,10,5,,0,0
S331,M166,Kortrijk,6,2,7,,3,0
S332,M166,Standard,10,5,8,,5,1
S333,M167,St Truiden,6,2,3,,4,0
S334,M167,Antwerp,10,5,5,,3,0
S335,M168,Oostende,18,11,8,,1,0
S336,M168,Genk,10,2,4,,4,0
S337,M169,Charleroi,8,3,2,,1,0
S338,M169,Mouscron,6,3,3,,2,0
S339,M170,Mechelen,3,1,3,,5,0
S340,M170,Waregem,8,5,1,,3,0
S341,M171,Oostende,14,11,4,,2,0
S342,M171,Kortrijk,19,12,8,,4,0
S343,M172,Standard,14,7,10,,1,0
S344,M172,Eupen,4,3,1,,4,1
S345,M173,Waasland-Beveren,12,7,4,,1,0
S346,M173,St Truiden,12,10,7,,0,0
S347,M174,Antwerp,6,4,5,,2,0
S348,M174,Club Brugge,8,4,5,,4,0
S349,M175,Genk,10,4,3,,3,1
S350,M175,Anderlecht,8,3,8,,5,0
S351,M176,Gent,14,5,6,,2,0
S352,M176,Lokeren,8,3,5,,1,0
S353,M177,Mouscron,9,4,2,,2,0
S354,M177,Kortrijk,10,6,2,,2,0
S355,M178,St Truiden,13,4,2,,1,0
S356,M178,Mechelen,7,3,1,,3,1
S357,M179,Waregem,5,4,6,,2,0
S358,M179,Standard,8,5,6,,4,1
S359,M180,Anderlecht,12,4,4,,0,0
S360,M180,Waasland-Beveren,10,5,7,,3,0
S361,M181,Antwerp,7,4,2,,4,0
S362,M181,Gent,8,3,9,,3,0
S363,M182,Eupen,9,2,2,,2,0
S364,M182,Charleroi,14,7,10,,1,0
S365,M183,Lokeren,15,7,5,,1,0
S366,M183,Genk,7,5,6,,1,0
S367,M184,Club Brugge,15,8,3,,2,0
S368,M184,Oostende,11,7,5,,1,0
S369,M185,Mechelen,11,3,5,,1,0
S370,M185,Mouscron,8,3,6,,3,0
S371,M186,Charleroi,7,2,2,,2,0
S372,M186,Antwerp,7,4,3,,4,2
S373,M187,Genk,9,4,5,,1,0
S374,M187,St Truiden,8,7,1,,4,0
S375,M188,Kortrijk,13,7,10,,3,0
S376,M188,Eupen,5,1,4,,5,0
S377,M189,Waasland-Beveren,14,7,6,,3,0
S378,M189,Waregem,14,7,10,,2,0
S379,M190,Gent,10,6,9,,3,0
S380,M190,Club Brugge,6,2,4,,2,0
S381,M191,Oostende,16,10,5,,3,0
S382,M191,Lokeren,11,6,7,,1,0
S383,M192,Standard,14,9,12,,0,0
S384,M192,Anderlecht,8,6,0,,3,0
S385,M193,Antwerp,10,6,11,,3,0
S386,M193,Waasland-Beveren,11,4,2,,3,0
S387,M194,Eupen,4,2,5,,4,1
S388,M194,Gent,19,8,12,,1,0
S389,M195,Lokeren,3,3,1,,2,1
S390,M195,Standard,15,11,7,,1,0
S391,M196,Mouscron,10,5,7,,1,0
S392,M196,Genk,10,5,2,,1,0
S393,M197,St Truiden,13,5,8,,2,0
S394,M197,Kortrijk,7,5,6,,2,0
S395,M198,Anderlecht,4,2,5,,2,0
S396,M198,Mechelen,9,2,5,,2,0
S397,M199,Club Brugge,10,7,9,,2,0
S398,M199,Charleroi,8,6,3,,2,0
S399,M200,Waregem,8,4,7,,6,0
S400,M200,Oostende,8,4,3,,3,0
S401,M201,Genk,10,8,2,,2,0
S402,M201,Waregem,10,6,9,,4,0
S403,M202,Gent,8,3,2,,3,0
S404,M202,St Truiden,7,4,2,,3,1
S405,M203,Kortrijk,11,5,6,,0,0
S406,M203,Antwerp,15,3,7,,2,0
S407,M204,Mechelen,17,9,15,,1,0
S408,M204,Eupen,3,0,3,,2,0
S409,M205,Oostende,4,2,3,,2,0
S410,M205,Anderlecht,9,2,9,,3,1
S411,M206,Charleroi,14,8,10,,0,0
S412,M206,Lokeren,5,2,3,,0,0
S413,M207,Standard,15,7,10,,3,1
S414,M207,Mouscron,9,7,3,,6,1
S415,M208,Waasland-Beveren,7,2,4,,3,0
S416,M208,Club Brugge,16,11,4,,3,0
S417,M209,St Truiden,8,5,5,,3,0
S418,M209,Anderlecht,4,1,7,,4,0
S419,M210,Antwerp,11,4,9,,2,0
S420,M210,Oostende,7,2,3,,1,0
S421,M211,Club Brugge,12,7,7,,1,0
S422,M211,Genk,9,4,3,,3,0
S423,M212,Lokeren,9,3,8,,3,0
S424,M212,Kortrijk,13,9,5,,0,0
S425,M213,Waregem,13,8,7,,3,0
S426,M213,Eupen,14,4,4,,1,0
S427,M214,Charleroi,6,2,4,,5,0
S428,M214,Standard,4,1,2,,4,1
S429,M215,Gent,10,6,8,,2,0
S430,M215,Mechelen,7,2,1,,3,0
S431,M216,Mouscron,12,7,2,,5,0
S432,M216,Waasland-Beveren,11,7,1,,1,0
S433,M217,Genk,12,6,8,,1,0
S434,M217,Antwerp,6,2,7,,4,1
S435,M218,Eupen,9,7,9,,3,1
S436,M218,Lokeren,5,4,5,,2,0
S437,M219,Mechelen,11,7,2,,3,0
S438,M219,Charleroi,3,2,3,,3,0
S439,M220,Oostende,6,4,1,,3,1
S440,M220,St Truiden,12,4,4,,2,0
S441,M221,Waasland-Beveren,10,3,2,,1,0
